DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
2003-12-31,2003-12-31,"הרותם 3, ראשון לציון",הרותם 3,5036-32-54,דירה בבית קומות,5.0,חמישית,118.0,744000,,,1990.0,,6.0,8736681660,1,503632,False,,ראשון לציון,הרותם,,5036-32-54,5036/32,6305.084745762712,31.9738073768,34.7842612007,2003
2003-12-31,2003-12-31,"הכינור 7, ראשון לציון",הכינור 7,5183-9-12,,5.0,שלישית,111.24,1078000,,,1997.0,,6.0,8736277704,1,51839,False,,ראשון לציון,הכינור,,5183-9-12,5183/9,9690.758719884934,31.962909202,34.7705978334,2003
2003-12-31,2003-12-31,"הסנפיר 9, ראשון לציון",הסנפיר 9,6823-31-1,קוטג' דו משפחתי,5.0,,125.0,1628000,,,1991.0,,2.0,8736369852,1,682331,False,,ראשון לציון,הסנפיר,,6823-31-1,6823/31,13024.0,31.9887211167,34.782683958,2003
2003-12-31,2003-12-31,"האורגן 11, ראשון לציון",האורגן 11,5182-6-30,,4.0,שניה,93.5,816000,,,1996.0,,7.0,8737134252,1,51826,False,,ראשון לציון,האורגן,,5182-6-30,5182/6,8727.272727272728,31.9666545755,34.7771629352,2003
2003-12-31,2003-12-31,"הקוקייה 29, ראשון לציון",הקוקייה 29,6287-313-31,דירה בבית קומות,5.0,קומה ‎8‏,114.36,1070000,,,2002.0,,9.0,8737710156,1,6287313,False,,ראשון לציון,הקוקיה,,6287-313-31,6287/313,9356.418328086744,31.957733503,34.817013675,2003
2003-12-31,2003-12-31,"הקוקייה 29, ראשון לציון",הקוקייה 29,6287-313-3,דירה בבית קומות,4.0,קומה ‎1‏,96.65,910000,,,2002.0,,9.0,8737711500,1,6287313,False,,ראשון לציון,הקוקיה,,6287-313-3,6287/313,9415.41645111226,31.957733503,34.817013675,2003
2003-12-31,2003-12-31,"עליזה בגין 8, ראשון לציון",עליזה בגין 8,3927-360-17,דירה בבית קומות,4.0,חמישית,104.0,1040000,,,2004.0,,13.0,8736751044,1,3927360,False,,ראשון לציון,עליזה בגין,,3927-360-17,3927/360,10000.0,31.9727724768,34.7971724774,2003
2003-12-31,2003-12-31,"נטור 41, ראשון לציון",נטור 41,5435-97-0,קוטג' טורי,6.0,,770.0,1570000,,,2002.0,,,8737715028,1,543597,False,,ראשון לציון,נטור,,5435-97-0,5435/97,2038.9610389610389,31.9821844731,34.7581458116,2003
2003-12-31,2003-12-31,"רוטשילד 76, ראשון לציון",רוטשילד 76,3945-689-1,חנות,,מרתף,224.5,3503000,,,1970.0,,6.0,8739024756,1,3945689,False,,ראשון לציון,רוטשילד,,3945-689-1,3945/689,15603.563474387527,31.9644549122,34.7967159502,2003
2003-12-31,2003-12-31,"ברנשטיין 25, ראשון לציון",ברנשטיין 25,6287-155-38,דירה בבית קומות,4.0,ראשונה,98.5,722000,,,1988.0,,9.0,8737035804,1,6287155,False,,ראשון לציון,ברנשטיין,,6287-155-38,6287/155,7329.94923857868,31.960230557,34.8168210636,2003
