DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
2008-12-31,2008-12-31,"הרב רוזובסקי 12, בני ברק",הרב רוזובסקי 12,6190-1045-0,מחסנים,,,806.0,448000,,,2005.0,,5.0,3161245746,1,61901045,False,,בני ברק,הרב רוזובסקי,,6190-1045-0,6190/1045,555.8312655086849,32.0834217293,34.8398814272,2008
2008-12-31,2008-12-31,"יהודה הנשיא 33, בני ברק",יהודה הנשיא 33,6124-199-8,דירה בבית קומות,5.0,ג' + רביעית,94.25,1100000,,,1982.0,,3.0,3161824499,1,6124199,False,,בני ברק,יהודה הנשיא,,6124-199-8,6124/199,11671.087533156498,32.0789646263,34.8288151824,2008
2008-12-30,2008-12-30,"רשב""ם 21, בני ברק","רשב""ם 21",6190-497-2,דירה בבית קומות,3.0,ראשונה,75.0,188000,,,1950.0,,2.0,3161613031,1,6190497,False,,בני ברק,"רשב""ם",,6190-497-2,6190/497,2506.6666666666665,32.0786850817,34.8370096957,2008
2008-12-30,2008-12-30,"בר אילן 37, בני ברק",בר אילן 37,6192-718-5,דירה בבית קומות,3.0,ראשונה,39.3,930000,,,1960.0,,1.0,3161256766,1,6192718,False,26% ב 3.3 שנים,בני ברק,בר אילן,7.88,6192-718-5,6192/718,23664.12213740458,32.0897860709,34.8434631983,2008
2008-12-30,2008-12-30,"אבטליון 7, בני ברק",אבטליון 7,6122-752-6,דירה בבית קומות,4.0,שניה,80.0,1000000,,,2008.0,,4.0,3161344810,1,6122752,False,,בני ברק,אבטליון,,6122-752-6,6122/752,12500.0,32.0873109262,34.8316595596,2008
2008-12-30,2008-12-30,"סוקולוב 36, בני ברק",סוקולוב 36,6122-1871-52,דירה בבית קומות,4.0,שישית,103.6,924000,,,2008.0,,7.0,3161106053,1,61221871,False,,בני ברק,סוקולוב,,6122-1871-52,6122/1871,8918.91891891892,32.0898935295,34.8341983684,2008
2008-12-28,2008-12-28,"גניחובסקי 26, בני ברק",גניחובסקי 26,6195-774-3,דירה בבית קומות,3.0,ראשונה,58.34,686000,,,1970.0,,4.0,3161491724,1,6195774,False,80% ב 10.6 שנים,בני ברק,גניחובסקי,7.55,6195-774-3,6195/774,11758.656153582448,32.0993649796,34.8397979701,2008
2008-12-28,2008-12-28,"השר יגאל אלון 29, בני ברק",השר יגאל אלון 29,6790-7-12,דירה בבית קומות,3.0,שלישית,62.65,730000,,,1970.0,,4.0,3161109156,1,67907,False,77% ב 5.5 שנים,בני ברק,השר אלון יגאל,14.0,6790-7-12,6790/7,11652.035115722269,32.0989804865,34.8358192883,2008
2008-12-28,2008-12-28,"בארי 10, בני ברק",בארי 10,6188-454-3,דירה בבית קומות,3.0,א,76.0,800000,,,1960.0,,3.0,3163060450,1,6188454,False,0% ב 0.2 שנים,בני ברק,בארי,0.0,6188-454-3,6188/454,10526.315789473683,32.0776179627,34.8285736811,2008
2008-12-28,2008-12-28,"רבי עקיבא 7, בני ברק",רבי עקיבא 7,6122-850-14,דירה בבית קומות,4.0,ראשונה,70.7,1000000,,,2008.0,,5.0,3161210540,1,6122850,False,,בני ברק,רבי עקיבא,,6122-850-14,6122/850,14144.271570014143,32.0907198657,34.8257415885,2008
2008-12-28,2008-12-28,"חשב סופר 27, בני ברק",חשב סופר 27,6192-383-5,דירה בבית קומות,3.5,ב,74.0,1100000,,,1970.0,,3.0,3161158630,1,6192383,False,,בני ברק,חשב סופר,,6192-383-5,6192/383,14864.864864864863,32.0891532829,34.836831764,2008
2008-12-26,2008-12-26,"יהודה הנשיא 47, בני ברק",יהודה הנשיא 47,6124-317-10,דירה בבית קומות,2.5,ב,55.0,850000,,,1965.0,,3.0,3161360383,1,6124317,False,,בני ברק,יהודה הנשיא,,6124-317-10,6124/317,15454.545454545454,32.0797515328,34.8304537751,2008
2008-12-25,2008-12-25,"יהושע 19, בני ברק",יהושע 19,6123-171-7,דירה בבית קומות,4.0,,100.0,1500000,,,2009.0,,,3140659081,1,6123171,False,,בני ברק,יהושע,,6123-171-7,6123/171,15000.0,32.0848921403,34.8288902294,2008
2008-12-25,2008-12-25,"דב הוז 30, בני ברק",דב הוז 30,6195-180-3,דירה בבית קומות,4.0,קרקע,64.0,670000,,,1960.0,,2.0,3161120350,1,6195180,False,,בני ברק,הוז דב,,6195-180-3,6195/180,10468.75,32.0948932852,34.8378101149,2008
2008-12-24,2008-12-24,"הרב רוזובסקי 11, בני ברק",הרב רוזובסקי 11,6190-1147-24,דירה בבית קומות,4.0,חמישית,83.0,1150000,,,1998.0,,7.0,3140618829,1,61901147,False,49% ב 9.9 שנים,בני ברק,הרב רוזובסקי,4.95,6190-1147-24,6190/1147,13855.421686746988,32.0838794264,34.8401828283,2008
2008-12-23,2008-12-23,"ז'בוטינסקי 39, בני ברק",ז'בוטינסקי 39,6196-264-11,דירה בבית קומות,2.0,שלישית,50.0,567000,,,1950.0,,3.0,3161343389,1,6196264,False,,בני ברק,ז'בוטינסקי,,6196-264-11,6196/264,11340.0,32.0917975797,34.829993457,2008
2008-12-23,2008-12-23,"רבי ישראל אבו חצירא 12, בני ברק",רבי ישראל אבו חצירא 12,7361-24-2,דירה בבית קומות,3.0,ראשונה,61.9,660000,,,1970.0,,4.0,3140603546,1,736124,False,,בני ברק,אבו חצירא ישראל,,7361-24-2,7361/24,10662.358642972536,32.0940472411,34.8322849574,2008
