DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
2018-12-31,2018-12-31,"אשתאול 1, אשקלון",אשתאול 1,2869-28-222,דירה בבית קומות,4.0,חמש עשרה,93.0,1590000,1.0,High מול הים אשקלון,2000.0,,20.0,10711464930,1,286928,False,,אשקלון,אשתאול,,2869-28-222,2869/28,17096.774193548386,31.667375096,34.5578269375,2018
2018-12-31,2018-12-31,"ההסתדרות 29, אשקלון",ההסתדרות 29,1962-4-17,דירה בבית קומות,3.0,שלישית,40.7,800000,,,1970.0,,3.0,10710150030,1,19624,False,,אשקלון,ההסתדרות,,1962-4-17,1962/4,19656.019656019656,31.6582055443,34.5617189167,2018
2018-12-31,2018-12-31,"אריה בן-אליעזר 101, אשקלון",אריה בן-אליעזר 101,1934-63-2,דירה בבית קומות,4.0,ראשונה,80.0,1000000,,,1980.0,,3.0,10711335150,1,193463,False,211% ב 14.4 שנים,אשקלון,בן אליעזר אריה,14.65,1934-63-2,1934/63,12500.0,31.6851135384,34.5755710665,2018
2018-12-31,2018-12-31,"שמעון חכם 2, אשקלון",שמעון חכם 2,1998-2-20,דירה בבית קומות,4.0,רביעית,95.0,1010000,,,1997.0,,5.0,10710622260,1,19982,False,,אשקלון,חכם שמעון,,1998-2-20,1998/2,10631.578947368422,31.6532896434,34.557759122,2018
2018-12-31,2018-12-31,"חננאל 10, אשקלון",חננאל 10,1994-24-1,דירה בבית קומות,3.0,ראשונה,47.7,710000,,,1960.0,,3.0,10710963000,1,199424,False,,אשקלון,חננאל,,1994-24-1,1994/24,14884.696016771488,31.66764631,34.5924411037,2018
2018-12-31,2018-12-31,"אריה בן-אליעזר 9, אשקלון",אריה בן-אליעזר 9,1934-100-36,דירה בבית קומות,4.0,שישית,89.7,1160000,,,1992.0,,9.0,10711158300,1,1934100,False,38% ב 3.6 שנים,אשקלון,בן אליעזר אריה,10.56,1934-100-36,1934/100,12931.995540691192,31.6842281256,34.5764964471,2018
2018-12-30,2018-12-30,"בלפור 15, אשקלון",בלפור 15,2556-6-3,דירת גן,5.0,קומה ‎1‏,128.9,1760000,,,2000.0,,7.0,10710227970,1,25566,False,0% ב 2.3 שנים,אשקלון,בלפור,0.0,2556-6-3,2556/6,13653.99534522886,31.6892374928,34.576155097,2018
2018-12-30,2018-12-30,"הצופים 9, אשקלון",הצופים 9,2390-50-15,דירה בבית קומות,4.0,חמישית,86.75,1050000,,,1995.0,,6.0,10642525290,1,239050,False,48% ב 5.5 שנים,אשקלון,הצופים,8.73,2390-50-15,2390/50,12103.746397694524,31.6602609195,34.5718256328,2018
2018-12-30,2018-12-30,"יורם ורון 3, אשקלון",יורם ורון 3,1942-186-55,דירה בבית קומות,4.0,רביעית,116.65,1550000,,,2011.0,,12.0,10711106280,1,1942186,False,40% ב 5.4 שנים,אשקלון,ורון יורם,7.41,1942-186-55,1942/186,13287.612516073725,31.6682903925,34.5687222583,2018
2018-12-30,2018-12-30,"אריה בן-אליעזר 15, אשקלון",אריה בן-אליעזר 15,1934-103-21,דירה בבית קומות,4.0,שישית,98.77,1070000,,,1990.0,,8.0,10711636380,1,1934103,False,127% ב 14.5 שנים,אשקלון,בן אליעזר אריה,8.76,1934-103-21,1934/103,10833.248962235495,31.6845157157,34.5752255619,2018
