DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
2002-12-31,2002-12-31,"אלפסי 24, ירושלים",אלפסי 24,30025-64-5,,4.0,שניה,90.0,1634000,,,1951.0,,2.0,3090456840,1,3002564,False,,ירושלים,אלפסי,,30025-64-5,30025/64,18155.555555555555,31.7729429403,35.2116387036,2002
2002-12-31,2002-12-31,"בן-ציון 20, ירושלים",בן-ציון 20,30151-84-9,,3.0,קרקע,59.0,781000,,,1960.0,,6.0,3090015810,1,3015184,False,,ירושלים,בן ציון,,30151-84-9,30151/84,13237.28813559322,31.7898695054,35.1942627293,2002
2002-12-31,2002-12-31,"רחל אימנו 26, ירושלים",רחל אימנו 26,30009-93-3,,3.0,קרקע,91.0,1487000,,,1960.0,,2.0,3090034560,1,3000993,False,,ירושלים,רחל אמנו,,30009-93-3,30009/93,16340.65934065934,31.764124737,35.2129821732,2002
2002-12-31,2002-12-31,"הנורית 20, ירושלים",הנורית 20,30439-65-29,,3.0,שמינית,48.8,341000,,,1960.0,,8.0,3090414810,1,3043965,False,,ירושלים,הנורית,,30439-65-29,30439/65,6987.704918032788,31.7535673532,35.171500115,2002
2002-12-31,2002-12-31,"כנפי נשרים 3, ירושלים",כנפי נשרים 3,30261-160-58,,,ראשונה,113.4,2035000,,,1960.0,,2.0,3090615750,1,30261160,False,,ירושלים,כנפי נשרים,,30261-160-58,30261/160,17945.32627865961,31.7865860544,35.190041519,2002
2002-12-31,2002-12-31,"הנורית 10, ירושלים",הנורית 10,30439-73-59,,4.0,ראשונה,90.6,430000,,,1970.0,,5.0,3090541950,1,3043973,False,,ירושלים,הנורית,,30439-73-59,30439/73,4746.136865342163,31.7524575198,35.17098068,2002
2002-12-31,2002-12-31,"ההגנה 25, ירושלים",ההגנה 25,30655-21-19,,4.0,שביעית,77.3,743000,,,1970.0,,9.0,3090082170,1,3065521,False,,ירושלים,ההגנה,,30655-21-19,30655/21,9611.90168175938,31.8018347272,35.2387917979,2002
2002-12-31,2002-12-31,"רבנו גרשום 26, ירושלים",רבנו גרשום 26,30084-153-3,,4.0,ראשונה,100.0,1326000,,,1991.0,,,3090172710,1,30084153,False,,ירושלים,רבנו גרשום,,30084-153-3,30084/153,13260.0,31.7929962307,35.2198799932,2002
2002-12-31,2002-12-31,"הרב ברלין 16, ירושלים",הרב ברלין 16,30024-54-2,,2.0,מרתף,38.0,767000,,,1950.0,,3.0,3090052680,1,3002454,False,,ירושלים,הרב ברלין,,30024-54-2,30024/54,20184.21052631579,31.7691786434,35.2105856637,2002
2002-12-31,2002-12-31,"כנפי נשרים 3, ירושלים",כנפי נשרים 3,30261-160-57,,,ראשונה,113.4,454000,,,1960.0,,2.0,3090616230,1,30261160,False,,ירושלים,כנפי נשרים,,30261-160-57,30261/160,4003.52733686067,31.7865860544,35.190041519,2002
2002-12-31,2002-12-31,"בראנד אהרון 3, ירושלים",בראנד אהרון 3,30255-130-2,,4.0,שניה,99.0,947000,,,1980.0,,8.0,3090274650,1,30255130,False,,ירושלים,בראנד אהרון,,30255-130-2,30255/130,9565.656565656564,31.7846023188,35.1731508816,2002
2002-12-31,2002-12-31,"ניל""י 17, ירושלים","ניל""י 17",30121-81-9,,4.0,ראשונה,89.0,1316000,,,1960.0,,2.0,3090283560,1,3012181,False,,ירושלים,"ניל""י",,30121-81-9,30121/81,14786.516853932584,31.7672740973,35.2074894543,2002
2002-12-31,2002-12-31,"הרואה 19, ירושלים",הרואה 19,30717-9-34,,2.0,ראשונה,51.9,454000,,,1980.0,,4.0,3090482310,1,307179,False,,ירושלים,הרואה,,30717-9-34,30717/9,8747.591522157996,31.817406812,35.1977801947,2002
2002-12-31,2002-12-31,"ששת הימים 15, ירושלים",ששת הימים 15,30657-24-2,,4.0,ראשונה,120.0,2131000,,,1971.0,,,3090689280,1,3065724,False,,ירושלים,ששת הימים,,30657-24-2,30657/24,17758.333333333332,31.8027072835,35.2288612294,2002
2002-12-31,2002-12-31,"מנדלי מוכר ספרים 5, ירושלים",מנדלי מוכר ספרים 5,30027-123-3,,4.0,שישית,100.0,1539000,,,1970.0,,7.0,3090021750,1,30027123,False,,ירושלים,מנדלי מוכר ספרים,,30027-123-3,30027/123,15390.0,31.7714243113,35.2205044788,2002
2002-12-31,2002-12-31,"הדף היומי 10, ירושלים",הדף היומי 10,30718-7-22,,3.0,שניה,69.3,639000,,,1970.0,,6.0,3090065760,1,307187,False,,ירושלים,הדף היומי,,30718-7-22,30718/7,9220.77922077922,31.816878272,35.2041330928,2002
2002-12-30,2002-12-30,"קריב יצחק 7, ירושלים",קריב יצחק 7,30820-9-15,דירה בבית קומות,4.0,ראשונה,100.0,3600000,,,2000.0,,3.0,3090386820,1,308209,False,,ירושלים,קריב יצחק,,30820-9-15,30820/9,36000.0,31.7767017722,35.2251835204,2002
2002-12-30,2002-12-30,"אפרתה 32, ירושלים",אפרתה 32,30115-106-1,,4.0,ראשונה,97.0,1039000,,,1980.0,,4.0,3090290280,1,30115106,False,,ירושלים,אפרתה,,30115-106-1,30115/106,10711.340206185569,31.751175721,35.2209184064,2002
2002-12-30,2002-12-30,"מעגלי הרי""ם לוין 107, ירושלים","מעגלי הרי""ם לוין 107",30244-130-22,,4.0,שלישית,62.5,900000,,,1970.0,,5.0,3090186030,1,30244130,False,,ירושלים,"מעגלי הרי""ם לוין",,30244-130-22,30244/130,14400.0,31.8025294412,35.2168602169,2002
2002-12-30,2002-12-30,"טשרניחובסקי 72, ירושלים",טשרניחובסקי 72,30122-71-20,,2.0,שניה,30.0,462000,,,1970.0,,2.0,3090114840,1,3012271,False,,ירושלים,טשרניחובסקי,,30122-71-20,30122/71,15400.0,31.7617967731,35.2016318458,2002
2002-12-30,2002-12-30,"מעגלי הרי""ם לוין 128, ירושלים","מעגלי הרי""ם לוין 128",30244-114-98,,3.0,שישית,56.1,858000,,,1970.0,,6.0,3090276390,1,30244114,False,,ירושלים,"מעגלי הרי""ם לוין",,30244-114-98,30244/114,15294.117647058823,31.801786237,35.2161348603,2002
2002-12-30,2002-12-30,"יחזקאל קויפמן 2, ירושלים",יחזקאל קויפמן 2,30730-11-21,,4.0,רביעית,64.5,766000,,,1970.0,,6.0,3090221190,1,3073011,False,,ירושלים,קויפמן יחזקאל,,30730-11-21,30730/11,11875.96899224806,31.8157873845,35.1929881418,2002
2002-12-30,2002-12-30,"מרווה 20, ירושלים",מרווה 20,28113-7-11,,3.0,שלישית,75.6,572000,,,1990.0,,3.0,3090058410,1,281137,False,,ירושלים,מרוה,,28113-7-11,28113/7,7566.137566137567,31.7315011476,35.1812618471,2002
2002-12-30,2002-12-30,"סולם יעקב 37, ירושלים",סולם יעקב 37,30716-18-49,,3.0,שלישית,58.1,662000,,,1975.0,,3.0,3090563760,1,3071618,False,,ירושלים,סולם יעקב,,30716-18-49,30716/18,11394.148020654044,31.8182400712,35.201663664,2002
2002-12-30,2002-12-30,"רפידים 2, ירושלים",רפידים 2,30100-168-8,,3.0,קומה ‎3‏,102.9,701000,,,1970.0,,7.0,3090387840,1,30100168,False,,ירושלים,רפידים,,30100-168-8,30100/168,6812.439261418853,31.7993117709,35.223222158,2002
2002-12-30,2002-12-30,"ברל לוקר 26, ירושלים",ברל לוקר 26,30501-35-41,,3.0,שלישית,64.0,400000,,,1970.0,,8.0,3090498660,1,3050135,False,,ירושלים,ברל לוקר,,30501-35-41,30501/35,6250.0,31.749119202,35.2024275544,2002
2002-12-30,2002-12-30,"הרב עוזיאל 131, ירושלים",הרב עוזיאל 131,30341-238-7,,4.0,רביעית,120.0,1588000,,,1980.0,,4.0,3090394710,1,30341238,False,,ירושלים,הרב עוזיאל,,30341-238-7,30341/238,13233.333333333334,31.7630845163,35.1896881491,2002
2002-12-30,2002-12-30,"הציונות 3, ירושלים",הציונות 3,30415-150-9,,3.0,שלישית,68.95,548000,,,1970.0,,5.0,3090062790,1,30415150,False,,ירושלים,הציונות,,30415-150-9,30415/150,7947.78825235678,31.7539958449,35.1777969212,2002
2002-12-30,2002-12-30,"כנפי נשרים 13, ירושלים",כנפי נשרים 13,30262-171-145,,,,108.0,926000,,,1999.0,,4.0,3090563280,1,30262171,False,,ירושלים,כנפי נשרים,,30262-171-145,30262/171,8574.074074074075,31.7872035924,35.1841517592,2002
2002-12-30,2002-12-30,"המזלות 8, ירושלים",המזלות 8,30628-25-1,,4.0,ראשונה,100.0,753000,,,1990.0,,2.0,3090057630,1,3062825,False,,ירושלים,המזלות,,30628-25-1,30628/25,7530.0,31.830739714,35.2375838936,2002
2002-12-29,2002-12-29,"בק 15, ירושלים",בק 15,30104-38-1,,6.0,ראשונה,125.0,1437000,,,1960.0,,1.0,3090185310,1,3010438,False,,ירושלים,בק,,30104-38-1,30104/38,11496.0,31.7959563033,35.2185888308,2002
2002-12-29,2002-12-29,"סורוצקין 43, ירושלים",סורוצקין 43,30298-13-28,,6.0,שמינית ותשעית,160.5,2155000,,,1960.0,,9.0,3090483810,1,3029813,False,,ירושלים,סורוצקין,,30298-13-28,30298/13,13426.791277258568,31.7996008465,35.2062084224,2002
2002-12-29,2002-12-29,"עליית הנוער 11, ירושלים",עליית הנוער 11,30723-37-47,,3.0,שלישית,63.0,608000,,,1980.0,,4.0,3090066540,1,3072337,False,,ירושלים,עלית הנוער,,30723-37-47,30723/37,9650.79365079365,31.8109703513,35.2004211199,2002
2002-12-29,2002-12-29,"מאיר נקר 12, ירושלים",מאיר נקר 12,30207-17-14,,3.0,שלישית,62.0,527000,,,1970.0,,4.0,3090327420,1,3020717,False,,ירושלים,נקר מאיר,,30207-17-14,30207/17,8500.0,31.7511449254,35.2413279489,2002
2002-12-29,2002-12-29,"אורוגוואי 40, ירושלים",אורוגוואי 40,30415-205-9,,,שניה,,167000,,,1950.0,,2.0,3090707580,1,30415205,False,,ירושלים,אורוגואי,,30415-205-9,30415/205,,31.7562211632,35.1771220222,2002
2002-12-29,2002-12-29,"בן-טבאי 3, ירושלים",בן-טבאי 3,30123-41-224,,3.0,רביעית,56.0,503000,,,1960.0,,6.0,3090136110,1,3012341,False,,ירושלים,בן טבאי,,30123-41-224,30123/41,8982.142857142857,31.7570053844,35.2051486703,2002
2002-12-29,2002-12-29,"תכלת מרדכי 5, ירושלים",תכלת מרדכי 5,30236-128-89,דירה בבית קומות,5.0,שלישית,125.0,1410000,,,2001.0,,9.0,3090303600,1,30236128,False,,ירושלים,תכלת מרדכי,,30236-128-89,30236/128,11280.0,31.7934104225,35.2059994533,2002
2002-12-29,2002-12-29,"בעל השאילתות 2, ירושלים",בעל השאילתות 2,30261-72-4,,2.0,שניה,32.0,479000,,,1970.0,,4.0,3090021510,1,3026172,False,,ירושלים,בעל השאילתות,,30261-72-4,30261/72,14968.75,,,2002
2002-12-29,2002-12-29,"משה רחמילביץ 138, ירושלים",משה רחמילביץ 138,30690-31-0,,4.0,שניה,109.0,843000,,,1980.0,,2.0,3090722670,1,3069031,False,,ירושלים,רחמילביץ משה,,30690-31-0,30690/31,7733.94495412844,31.8193353767,35.2550252222,2002
2002-12-29,2002-12-29,"צפרירים 13, ירושלים",צפרירים 13,30716-10-30,,3.0,שלישית,64.0,601000,,,1970.0,,4.0,3090436530,1,3071610,False,,ירושלים,צפרירים,,30716-10-30,30716/10,9390.625,31.8190344938,35.1998360734,2002
2002-12-29,2002-12-29,"הרב קצנלבוגן רפאל 28, ירושלים",הרב קצנלבוגן רפאל 28,30333-79-11,,6.0,חמישית,123.6,1916000,,,1970.0,,7.0,3090181350,1,3033379,False,,ירושלים,הרב קצנלבוגן רפאל,,30333-79-11,30333/79,15501.618122977348,31.7866960457,35.1746782099,2002
2002-12-29,2002-12-29,"יהודה המכבי 5, ירושלים",יהודה המכבי 5,30076-184-53,,,ראשונה,944.0,4858000,,,1950.0,,2.0,3090193740,1,30076184,False,,ירושלים,יהודה המכבי,,30076-184-53,30076/184,5146.186440677966,31.7883717557,35.2089619721,2002
2002-12-29,2002-12-29,"יהודה המכבי 5, ירושלים",יהודה המכבי 5,30076-184-57,,,ראשונה,57.0,3593000,,,1950.0,,2.0,3090193230,1,30076184,False,,ירושלים,יהודה המכבי,,30076-184-57,30076/184,63035.08771929824,31.7883717557,35.2089619721,2002
2002-12-28,2002-12-28,"שאול המלך 22, ירושלים",שאול המלך 22,30106-32-7,,3.0,שלישית,68.0,742000,,,1970.0,,4.0,3090198210,1,3010632,False,,ירושלים,שאול המלך,,30106-32-7,30106/32,10911.764705882351,31.7982961486,35.2194266278,2002
2002-12-26,2002-12-26,"מקווה ישראל 128, ירושלים",מקווה ישראל 128,30100-134-27,,3.0,שניה,57.2,847000,,,1970.0,,4.0,3090141570,1,30100134,False,,ירושלים,מקוה ישראל,,30100-134-27,30100/134,14807.692307692309,31.7972772951,35.224685207,2002
2002-12-26,2002-12-26,"ירמיהו 8, ירושלים",ירמיהו 8,30079-108-7,,3.0,שניה,44.0,685000,,,1960.0,,2.0,3090162030,1,30079108,False,,ירושלים,ירמיהו,,30079-108-7,30079/108,15568.181818181818,31.7936808946,35.2144467616,2002
