DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
2009-12-31,2009-12-31,"יציאת אירופה 11, חיפה",יציאת אירופה 11,10906-265-17,דירה בבית קומות,3.0,רביעית,51.0,387000,,,1970.0,,4.0,4400955680,1,10906265,False,,חיפה,יציאת אירופה,,10906-265-17,10906/265,7588.235294117647,32.8211047805,34.9587215212,2009
2009-12-31,2009-12-31,"אליעזר בונה 9, חיפה",אליעזר בונה 9,11668-56-0,משרד,,,939.0,100000,,,1995.0,,4.0,4401589600,1,1166856,False,,חיפה,בונה אליעזר,,11668-56-0,11668/56,106.49627263045794,32.7895504296,35.0391446797,2009
2009-12-31,2009-12-31,"גדליהו 33, חיפה",גדליהו 33,10893-5-8,דירה בבית קומות,3.0,שניה,62.8,81000,,,1960.0,,6.0,4400415120,1,108935,False,,חיפה,גדליהו,,10893-5-8,10893/5,1289.8089171974525,32.7838294524,35.0212579044,2009
2009-12-31,2009-12-31,"דגניה 62, חיפה",דגניה 62,11567-540-36,דירה בבית קומות,2.0,שניה,39.4,245000,,,1960.0,,4.0,4400118440,1,11567540,False,,חיפה,דגניה,,11567-540-36,11567/540,6218.274111675127,32.833361892,35.0537823906,2009
2009-12-31,2009-12-31,"שחם 1, חיפה",שחם 1,11196-144-41,דירה בבית קומות,4.0,שלישית,120.0,1472000,,,2010.0,,6.0,4400580440,1,11196144,False,,חיפה,שחם,,11196-144-41,11196/144,12266.666666666666,32.7734964362,35.0072913441,2009
2009-12-31,2009-12-31,"ששת הימים 47, חיפה",ששת הימים 47,11565-27-11,דירה,4.0,,115.0,920000,1.0,ששת הימים,2009.0,,3.0,11181182330,1,1156527,False,,חיפה,ששת הימים,,11565-27-11,11565/27,8000.0,32.8298884329,35.0700496119,2009
2009-12-31,2009-12-31,"משה שרת 68, חיפה",משה שרת 68,11582-13-8,דירה בבית קומות,4.0,שלישית ורביעית,118.34,1070000,,,2006.0,,3.0,4400182440,1,1158213,False,42% ב 3 שנים,חיפה,שרת משה,14.0,11582-13-8,11582/13,9041.744127091431,32.8236435558,35.0721005796,2009
2009-12-31,2009-12-31,"אד""ם הכהן 6, חיפה","אד""ם הכהן 6",11201-58-2,קרקע למגורים,,,156.0,1833000,,,1955.0,,2.0,4401550680,1,1120158,False,,חיפה,"אד""ם הכהן",,11201-58-2,11201/58,11750.0,32.7810909312,35.0166550164,2009
2009-12-31,2009-12-31,"נחליאלי 1, חיפה",נחליאלי 1,10929-24-1,חלוקה/יחוד דירות,,קרקע,97.5,4647000,,,1930.0,,2.0,4400295600,1,1092924,False,,חיפה,נחליאלי,,10929-24-1,10929/24,47661.53846153846,32.8348338048,34.9794489564,2009
2009-12-31,2009-12-31,"קליבנוב 7, חיפה",קליבנוב 7,11215-6-37,דירה בבית קומות,3.0,שלישית,72.1,530000,,,1970.0,,3.0,4400383760,1,112156,False,0% ב 7.5 שנים,חיפה,קליבנוב,0.0,11215-6-37,11215/6,7350.901525658808,32.7938413002,35.0106175361,2009
