DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
2021-12-31,2021-12-31,"רחל אמנו 34, ירושלים",רחל אמנו 34,30007-243-9,דירה בבית קומות,5.0,רביעית,130.2,4000000,,,1997.0,,4.0,3660049170,1,30007243,False,,ירושלים,רחל אמנו,,30007-243-9,30007/243,30721.966205837176,31.7643411961,35.2119147213,2021
2021-12-31,2021-12-31,"אולשוונגר 111, ירושלים",אולשוונגר 111,30407-3-16,דירה בבית קומות,3.0,שמינית,53.0,671000,,,1960.0,,8.0,3660165930,1,304073,False,,ירושלים,אולשוונגר,,30407-3-16,30407/3,12660.377358490568,31.7672918892,35.1696626825,2021
2021-12-31,2021-12-31,"צפניה 39, ירושלים",צפניה 39,30084-27-3,דירה בבית קומות,2.0,ראשונה,33.58,1250000,,,1930.0,,2.0,3660033780,1,3008427,False,,ירושלים,צפניה,,30084-27-3,30084/27,37224.53841572365,31.7919050553,35.2161852931,2021
2021-12-30,2021-12-30,"שמגר 16, ירושלים",שמגר 16,30079-178-17,חנות,,ראשונה,77.0,2800000,,,2003.0,,6.0,3660348600,1,30079178,False,,ירושלים,שמגר,,30079-178-17,30079/178,36363.63636363636,31.7946915582,35.2085243935,2021
2021-12-30,2021-12-30,"מרדכי כספי 26, ירושלים",מרדכי כספי 26,30112-89-3,דירה בבית קומות,5.0,קרקע+ראשונה+שניה,125.4,3670000,,,1989.0,,2.0,3660212430,1,3011289,False,,ירושלים,כספי מרדכי,,30112-89-3,30112/89,29266.34768740032,31.7568030678,35.2271093746,2021
2021-12-30,2021-12-30,"יוסף נדבה 16, ירושלים",יוסף נדבה 16,30688-31-64,דירה בבית קומות,3.0,שלישית,61.4,1550000,,,1990.0,,4.0,3660069420,1,3068831,False,10% ב 1.3 שנים,ירושלים,נדבה יוסף,7.69,30688-31-64,30688/31,25244.299674267106,31.8182067265,35.2490120458,2021
2021-12-30,2021-12-30,"בן-טבאי 1, ירושלים",בן-טבאי 1,30123-41-19,דירה בבית קומות,3.0,ראשונה,56.0,1800000,,,1960.0,,6.0,3660723840,1,3012341,False,,ירושלים,בן טבאי,,30123-41-19,30123/41,32142.85714285714,31.7570053844,35.2051486703,2021
2021-12-30,2021-12-30,"צ'ארלס לוץ 2, ירושלים",צ'ארלס לוץ 2,30644-9-3,דירה בבית קומות,4.0,ראשונה,84.7,2350000,,,1970.0,,4.0,3660272370,1,306449,False,105% ב 12.4 שנים,ירושלים,לוץ צארלס,8.47,30644-9-3,30644/9,27744.982290436838,31.8392836328,35.2438436191,2021
2021-12-30,2021-12-30,"ליכטנשטיין 9, ירושלים",ליכטנשטיין 9,29935-50-52,דירה בבית קומות,5.0,שביעית,91.6,1925000,,,2003.0,,9.0,3660269160,1,2993550,False,22% ב 5.4 שנים,ירושלים,ליכטנשטיין,4.07,29935-50-52,29935/50,21015.28384279476,31.7242117439,35.2227916946,2021
2021-12-30,2021-12-30,"הארזים 15, ירושלים",הארזים 15,30161-203-3,דירה בבית קומות,3.0,שניה,66.5,1900000,,,1960.0,,6.0,3660029370,1,30161203,False,,ירושלים,הארזים,,30161-203-3,30161/203,28571.42857142857,31.7792063927,35.1852409857,2021
