DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
2012-12-31,2012-12-31,"אצ""ל 67, אשקלון","אצ""ל 67",1118-169-1,קוטג' חד משפחתי,8.0,ראשונה,170.0,1500000,,,1990.0,,1.0,10172308230,1,1118169,False,,אשקלון,"אצ""ל",,1118-169-1,1118/169,8823.529411764706,31.6853782254,34.5797799274,2012
2012-12-31,2012-12-31,"היין 21, אשקלון",היין 21,2754-31-60,דירה בבית קומות,5.0,שביעית,128.0,1175000,,,2010.0,,9.0,10171532880,1,275431,False,,אשקלון,היין,,2754-31-60,2754/31,9179.6875,31.694530764,34.5820562176,2012
2012-12-31,2012-12-31,"אליעזר מילרוד 26, אשקלון",אליעזר מילרוד 26,1997-13-20,דירה בבית קומות,3.0,רביעית,38.7,175000,,,1970.0,2012.0,4.0,10173396690,1,199713,False,35% ב 4.4 שנים,אשקלון,מילרוד אליעזר,7.95,1997-13-20,1997/13,4521.963824289405,31.6503775589,34.5584427983,2012
2012-12-31,2012-12-31,"הצופים 10, אשקלון",הצופים 10,2390-45-11,דירה בבית קומות,3.0,שניה,63.3,622000,,,1992.0,,2.0,10172414430,1,239045,False,48% ב 2.7 שנים,אשקלון,הצופים,17.78,2390-45-11,2390/45,9826.224328593997,31.6598528309,34.5713869135,2012
2012-12-31,2012-12-31,"ז'בוטינסקי 2, אשקלון",ז'בוטינסקי 2,1996-18-5,דירה בבית קומות,2.0,ראשונה,34.8,300000,,,1960.0,,3.0,10172410650,1,199618,False,,אשקלון,ז'בוטינסקי,,1996-18-5,1996/18,8620.689655172415,31.6559077026,34.5605837773,2012
2012-12-31,2012-12-31,"הפנינים 1, אשקלון",הפנינים 1,1216-53-34,תעשיה,,ראשונה,61.0,570000,,,2009.0,,2.0,10172491560,1,121653,False,,אשקלון,הפנינים,,1216-53-34,1216/53,9344.262295081968,31.6622236408,34.596735984,2012
2012-12-31,2012-12-31,"ש""י עגנון 28, אשקלון","ש""י עגנון 28",1944-186-76,דירה בבית קומות,3.0,תשיעית,70.0,680000,,,2000.0,,9.0,10170200880,1,1944186,False,28% ב 2.6 שנים,אשקלון,"עגנון ש""י",10.77,1944-186-76,1944/186,9714.285714285714,31.6606245726,34.5567745665,2012
2012-12-31,2012-12-31,"יוספטל 23, אשקלון",יוספטל 23,1997-74-8,דירה בבית קומות,4.0,ראשונה,69.7,420000,,,1971.0,,3.0,10172104740,1,199774,False,,אשקלון,יוספטל,,1997-74-8,1997/74,6025.824964131994,31.6509633504,34.5579182362,2012
2012-12-31,2012-12-31,"הדרור 31, אשקלון",הדרור 31,1958-115-1,חנות,,,80.0,600000,,,1973.0,,,10175753610,1,1958115,False,,אשקלון,הדרור,,1958-115-1,1958/115,7500.0,31.6720203957,34.5606789836,2012
2012-12-30,2012-12-30,"בר-כוכבא 39, אשקלון",בר-כוכבא 39,2871-99-54,דירה בבית קומות,3.0,רביעית,69.0,600000,,,1972.0,,5.0,10172880630,1,287199,False,94% ב 8.5 שנים,אשקלון,בר כוכבא,11.06,2871-99-54,2871/99,8695.652173913044,31.6834276459,34.5675631136,2012
2012-12-30,2012-12-30,"ניצנים 1, אשקלון",ניצנים 1,3020-6-27,דירה בבית קומות,4.0,שלישית,68.0,420000,,,1970.0,,4.0,10175207670,1,30206,False,16% ב 0.4 שנים,אשקלון,ניצנים,40.0,3020-6-27,3020/6,6176.470588235294,31.655207419,34.5540961397,2012
2012-12-30,2012-12-30,"הפנינים 1, אשקלון",הפנינים 1,1216-53-17,עסק,,שניה,61.0,666900,1.0,מרכז הפנינים,2009.0,,2.0,11181183613,1,121653,False,,אשקלון,הפנינים,,1216-53-17,1216/53,10932.7868852459,31.6622236408,34.596735984,2012
2012-12-30,2012-12-30,"חיד""א 6, אשקלון","חיד""א 6",1963-53-5,דירה בבית קומות,2.0,ראשונה,34.1,280000,,,1970.0,,4.0,10171573830,1,196353,False,63% ב 8 שנים,אשקלון,"חיד""א",7.88,1963-53-5,1963/53,8211.143695014662,31.6603259408,34.5671704709,2012
2012-12-30,2012-12-30,"איילה 29, אשקלון",איילה 29,1296-10-4,דירה בבית קומות,4.0,ראשונה,82.65,685000,,,1990.0,,9.0,10170978300,1,129610,False,49% ב 10.9 שנים,אשקלון,איילה,4.5,1296-10-4,1296/10,8287.961282516635,31.6629030049,34.5747284228,2012
2012-12-29,2012-12-29,"יוטבתה 2, אשקלון",יוטבתה 2,3054-32-19,דירת גן,2.0,קרקע,33.2,560000,,,1994.0,,3.0,10170306360,1,305432,False,40% ב 2 שנים,אשקלון,יוטבתה,20.0,3054-32-19,3054/32,16867.46987951807,31.6761095772,34.5790279462,2012
