DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
2004-12-31,2004-12-31,"דובב 33, אשקלון",דובב 33,3049-57-1,דירה בבית קומות,,,60.0,387000,,,1992.0,,,9450858060,1,304957,False,,אשקלון,דובב,,3049-57-1,3049/57,6450.0,31.6787651005,34.581691578,2004
2004-12-30,2004-12-30,"יצחק חכימי 5, אשקלון",יצחק חכימי 5,1935-190-34,דירה בבית קומות,,,100.0,525000,,,2003.0,,2.0,9451486890,1,1935190,False,,אשקלון,חכימי יצחק,,1935-190-34,1935/190,5250.0,31.6926342501,34.5762548187,2004
2004-12-30,2004-12-30,"ימית 4, אשקלון",ימית 4,3046-108-2,דירה בבית קומות,3.0,,,368000,,,1992.0,,,9451247940,1,3046108,False,,אשקלון,ימית,,3046-108-2,3046/108,,31.6766017295,34.5868959204,2004
2004-12-29,2004-12-29,"משה שרת 42, אשקלון",משה שרת 42,1934-117-12,דירה בבית קומות,4.0,שלישית,89.35,489000,,,1995.0,,9.0,9450750420,1,1934117,False,,אשקלון,שרת משה,,1934-117-12,1934/117,5472.859541130387,31.6835529972,34.5782299485,2004
2004-12-29,2004-12-29,,,1938-304-1,בית בודד,5.0,,,1443000,,,1994.0,,,9450552780,2,1938304,False,,אשקלון,ים המלח,,1938-304-1,1938/304,,31.6849069613,34.5659158545,2004
2004-12-29,2004-12-29,"חיים בר-לב 13, אשקלון",חיים בר-לב 13,3063-12-1,תעשיה,,,2498.0,5030000,,,1995.0,,1.0,9451345950,1,306312,False,,אשקלון,בר-לב חיים,,3063-12-1,3063/12,2013.6108887109688,31.6328803842,34.5534773388,2004
2004-12-28,2004-12-28,"הציונות 76, אשקלון",הציונות 76,2557-7-1,דירה בבית קומות,5.0,קרקע,119.6,595000,,,2005.0,,7.0,9450457020,1,25577,False,,אשקלון,נבון אופירה,,2557-7-1,2557/7,4974.916387959866,31.6872524378,34.5813422138,2004
2004-12-24,2004-12-24,"שמעון חכם 2, אשקלון",שמעון חכם 2,1998-2-44,דירה בבית קומות,4.0,,100.0,330000,,,1997.0,,5.0,9450237420,1,19982,False,,אשקלון,חכם שמעון,,1998-2-44,1998/2,3300.0,31.6532896434,34.557759122,2004
2004-12-24,2004-12-24,"הטייסים 75, אשקלון",הטייסים 75,1941-109-143,דירה בבית קומות,4.0,רביעית,91.2,546000,,,2005.0,,10.0,9451048860,1,1941109,False,,אשקלון,הטייסים,,1941-109-143,1941/109,5986.8421052631575,31.6764766656,34.5606701547,2004
2004-12-23,2004-12-23,"אריה בן-אליעזר 11, אשקלון",אריה בן-אליעזר 11,1934-101-30,דירה בבית קומות,4.0,שמינית,92.5,433000,,,1994.0,,9.0,9450254520,1,1934101,False,,אשקלון,בן אליעזר אריה,,1934-101-30,1934/101,4681.081081081081,31.6842937501,34.5760804375,2004
2004-12-23,2004-12-23,"אפרים צור 48, אשקלון",אפרים צור 48,1965-24-13,דירה בבית קומות,3.0,שלישית,39.3,130000,,,1970.0,,4.0,9452441700,1,196524,False,,אשקלון,צור אפרים,,1965-24-13,1965/24,3307.8880407124684,31.6540652362,34.5631422235,2004
2004-12-23,2004-12-23,"זרעית 4, אשקלון",זרעית 4,3048-57-1,דירה בבית קומות,3.0,,76.0,411000,,,1980.0,,1.0,9450176400,1,304857,False,,אשקלון,זרעית,,3048-57-1,3048/57,5407.894736842105,31.6778186181,34.5820504443,2004
