DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
2023-12-31,2023-12-31,"נתן 3, רמת גן",נתן 3,6126-155-10,דירה בבית קומות,3.0,ראשונה,75.0,3270000,,,1970.0,2023.0,2.0,3596594384,1,6126155,False,,רמת גן,נתן,,6126-155-10,6126/155,43600.0,,,2023
2023-12-31,2023-12-31,"עמינדב 2, רמת גן",עמינדב 2,6145-677-7,דירה בבית קומות,3.0,,73.0,2390000,,,1965.0,2026.0,2.0,3596942993,1,6145677,False,,רמת גן,עמינדב,,6145-677-7,6145/677,32739.72602739726,32.0688569534,34.8228509385,2023
2023-12-31,2023-12-31,"מנחם בגין 7, רמת גן",מנחם בגין 7,6207-930-46,חניה,,שביעית,508.95,150000000,,,2000.0,,28.0,3597520528,1,6207930,False,,רמת גן,בגין מנחם,,6207-930-46,6207/930,294724.4326554671,32.0854975947,34.7998695675,2023
2023-12-31,2023-12-31,"מיכאל 12, רמת גן",מיכאל 12,6145-151-10,,3.0,שניה,65.0,1200000,1.0,מיכאל 12,,,3.0,11181263612,1,6145151,False,,רמת גן,מיכאל,,6145-151-10,6145/151,18461.53846153846,,,2023
2023-12-31,2023-12-31,"שיבא 8, ",שיבא 8,7313-18-9,דירה בבית קומות,6.0,שתים עשרה,135.0,5850000,,,2021.0,,5.0,3596435725,1,731318,False,,רמת גן,שיבא,,7313-18-9,7313/18,43333.333333333336,32.0509968385,34.8392758912,2023
2023-12-31,2023-12-31,"שמעון פרוג 5, רמת גן",שמעון פרוג 5,6127-818-8,דירה בבית קומות,3.0,שניה,50.0,2740000,,,2024.0,,2.0,3596773575,1,6127818,False,216% ב 15.4 שנים,רמת גן,פרוג שמעון,14.03,6127-818-8,6127/818,54800.0,32.0801588248,34.8119942355,2023
2023-12-31,2023-12-31,"החי""ל 32, רמת גן","החי""ל 32",6145-727-4,דירה בבית קומות,3.0,שניה,70.0,2470000,,,1948.0,,2.0,3596080243,1,6145727,False,,רמת גן,"החי""ל",,6145-727-4,6145/727,35285.71428571428,32.0669816442,34.825500318,2023
2023-12-31,2023-12-31,"ארנון 3, רמת גן",ארנון 3,6180-176-40,,4.0,שישית,101.0,2748000,1.0,,2021.0,,7.0,11181265760,1,6180176,False,,רמת גן,ארנון,,6180-176-40,6180/176,27207.920792079207,32.0604823912,34.8288846876,2023
2023-12-31,2023-12-31,"הטייסים 3, רמת גן",הטייסים 3,6142-89-30,דירה בבית קומות,4.0,עשרים וארבע,112.0,3947000,,,2022.0,,2.0,3596928348,1,614289,False,,רמת גן,הטייסים,,6142-89-30,6142/89,35241.07142857143,32.0522614976,34.8136094452,2023
2023-12-31,2023-12-31,,,6142-89-16,דירה בבית קומות,3.0,ראשונה,77.0,3016000,,,2024.0,,,3596708499,2,614289,False,10% ב 1.5 שנים,רמת גן,הטייסים,6.67,6142-89-16,6142/89,39168.831168831166,32.0522614976,34.8136094452,2023
2023-12-31,2023-12-31,"תרפ""ב 6, רמת גן","תרפ""ב 6",6128-674-8,דירה בבית קומות,5.0,שלישית,93.25,4000000,,,2024.0,,3.0,3596932408,1,6128674,False,,רמת גן,"תרפ""ב",,6128-674-8,6128/674,42895.44235924933,32.0800172634,34.8028825321,2023
2023-12-30,2023-12-30,,,6142-86-170,,5.0,שלוש עשרה,112.0,4229200,1.0,,,,,11181263383,2,614286,False,,רמת גן,הטייסים,,6142-86-170,6142/86,37760.71428571428,32.0529191023,34.8131483936,2023
2023-12-30,2023-12-30,,,6142-86-169,,4.0,עשרים וארבע,93.0,3947900,1.0,,,,,11181263382,2,614286,False,,רמת גן,הטייסים,,6142-86-169,6142/86,42450.5376344086,32.0529191023,34.8131483936,2023
2023-12-30,2023-12-30,,,6142-86-167,,3.0,רביעית,77.0,2968200,1.0,,,,,11181263380,2,614286,False,,רמת גן,הטייסים,,6142-86-167,6142/86,38548.05194805195,32.0529191023,34.8131483936,2023
2023-12-28,2023-12-28,"ז'בוטינסקי 8, רמת גן",ז'בוטינסקי 8,6128-926-146,דירה בבית קומות,3.0,עשרים ושמונה,81.0,4286000,,,2020.0,,44.0,3596537196,1,6128926,False,,רמת גן,ז'בוטינסקי,,6128-926-146,6128/926,52913.58024691358,32.0826629807,34.8044700429,2023
2023-12-28,2023-12-28,"אריה 3, רמת גן",אריה 3,6126-200-4,דירה בבית קומות,3.0,ראשונה,83.0,2450000,,,1950.0,,2.0,3576307231,1,6126200,False,,רמת גן,אריה,,6126-200-4,6126/200,29518.072289156626,32.0804912378,34.818657144,2023
2023-12-28,2023-12-28,,,6232-6-18,דירה בבית קומות,4.0,אחת עשרה,109.0,4208000,,,2024.0,,,3596304413,2,62326,False,,רמת גן,"רפאל איתן כפר אז""ר",,6232-6-18,6232/6,38605.50458715596,,,2023
2023-12-28,2023-12-28,"רוחמה 36, רמת גן",רוחמה 36,6157-684-8,דירה בבית קומות,3.0,רביעית,66.0,2450000,,,2023.0,,3.0,3596270425,1,6157684,False,,רמת גן,רוחמה,,6157-684-8,6157/684,37121.21212121212,32.0717464089,34.8214300806,2023
2023-12-28,2023-12-28,"אבא הלל 46, רמת גן",אבא הלל 46,6205-584-21,דירה בבית קומות,3.0,שניה,71.0,2508000,,,1960.0,2024.0,3.0,3596747968,1,6205584,False,,רמת גן,אבא הלל,,6205-584-21,6205/584,35323.94366197183,32.0889085737,34.8088349072,2023
2023-12-28,2023-12-28,"חירות 22, רמת גן",חירות 22,6205-477-14,דירה בבית קומות,5.0,שניה,113.0,4009000,,,2021.0,,7.0,3596336690,1,6205477,False,,רמת גן,חרות,,6205-477-14,6205/477,35477.87610619469,32.0899974948,34.8122354457,2023
2023-12-28,2023-12-28,"מרים 10, רמת גן",מרים 10,6127-771-9,דירה בבית קומות,4.0,שלישית,89.02,3200000,,,1990.0,,4.0,3596169476,1,6127771,False,14% ב 2.3 שנים,רמת גן,מרים,6.09,6127-771-9,6127/771,35946.978207144464,32.0786379783,34.8132142824,2023
2023-12-28,2023-12-28,"יוסף הגלילי 12, רמת גן",יוסף הגלילי 12,6125-417-12,דירה בבית קומות,4.0,שמינית,113.0,3500000,,,2021.0,,4.0,3596029261,1,6125417,False,,רמת גן,יוסף הגלילי,,6125-417-12,6125/417,30973.451327433628,32.0880938677,34.8196981612,2023
2023-12-28,2023-12-28,"הרצל 66, רמת גן",הרצל 66,6125-689-14,דירה בבית קומות,4.0,שלישית,73.54,2300000,,,1970.0,,4.0,3576335419,1,6125689,False,247% ב 16 שנים,רמת גן,הרצל,15.44,6125-689-14,6125/689,31275.49632852869,32.085617729,34.8155055476,2023
2023-12-28,2023-12-28,"תע""ש 3, רמת גן","תע""ש 3",6207-716-6,חנות,,ראשונה,52.5,930000,,,1980.0,,5.0,3596904452,1,6207716,False,,רמת גן,"תע""ש",,6207-716-6,6207/716,17714.285714285714,32.0886489145,34.8016209793,2023
2023-12-28,2023-12-28,,,6204-61-33,דירה בבית קומות,5.0,רביעית,123.0,4106000,,,2025.0,,,3596247689,2,620461,False,,רמת גן,הפודים,,6204-61-33,6204/61,33382.11382113821,32.0923882698,34.8201778984,2023
2023-12-28,2023-12-28,"הררי 15, רמת גן",הררי 15,6180-346-13,דירה בבית קומות,4.0,שלישית,65.0,2600000,,,1960.0,,4.0,3576351659,1,6180346,False,,רמת גן,הררי,,6180-346-13,6180/346,40000.0,32.0583380671,34.8323413434,2023
2023-12-28,2023-12-28,"מנחם בגין 13, רמת גן",מנחם בגין 13,6207-927-3,מחסנים,,ראשונה,,1644000,,,2023.0,,1.0,3596733845,1,6207927,False,,רמת גן,בגין מנחם,,6207-927-3,6207/927,,32.0868814033,34.8004980783,2023
2023-12-28,2023-12-28,"חד נס 27, רמת גן",חד נס 27,6145-1351-15,דירה בבית קומות,5.0,שמינית,108.0,3325000,,,1965.0,2024.0,3.0,3596610856,1,61451351,False,,רמת גן,חד נס,,6145-1351-15,6145/1351,30787.03703703704,32.0660212418,34.8248078511,2023
2023-12-27,2023-12-27,"ארלוזורוב 44, רמת גן",ארלוזורוב 44,6127-898-23,דירה בבית קומות,3.0,רביעית,68.0,2930000,,,1971.0,,6.0,3596076647,1,6127898,False,,רמת גן,ארלוזורוב,,6127-898-23,6127/898,43088.23529411765,32.0811978297,34.8105280904,2023
2023-12-27,2023-12-27,"תובל 42, רמת גן",תובל 42,6207-972-164,משרד,,רביעית,28.0,1050000,,,2018.0,,28.0,3596444338,1,6207972,False,,רמת גן,תובל,,6207-972-164,6207/972,37500.0,32.0849185746,34.801624488,2023
2023-12-27,2023-12-27,"תובל 21, רמת גן",תובל 21,6109-347-321,משרד,,אחת עשרה,22.0,370000,,,1988.0,,29.0,3597504781,1,6109347,False,,רמת גן,תובל,,6109-347-321,6109/347,16818.18181818182,32.0838519184,34.8021240457,2023
2023-12-27,2023-12-27,"ז'בוטינסקי 8, רמת גן",ז'בוטינסקי 8,6128-926-147,דירה בבית קומות,3.0,עשרים ותשע,84.0,4445000,,,2020.0,,44.0,3596485054,1,6128926,False,,רמת גן,ז'בוטינסקי,,6128-926-147,6128/926,52916.66666666666,32.0826629807,34.8044700429,2023
2023-12-27,2023-12-27,"נחליאלי 4, רמת גן",נחליאלי 4,6210-100-3,דירה בבית קומות,5.0,רביעית,120.0,4200000,,,2023.0,,,3596033553,1,6210100,False,,רמת גן,נחליאלי,,6210-100-3,6210/100,35000.0,,,2023
2023-12-27,2023-12-27,"סן מרטין 19, רמת גן",סן מרטין 19,6143-990-16,דירה בבית קומות,4.0,תשיעית,115.0,5100000,,,2021.0,,4.0,3596445527,1,6143990,False,,רמת גן,סן מרטין,,6143-990-16,6143/990,44347.82608695652,32.0534817233,34.8229778185,2023
2023-12-27,2023-12-27,"חד נס 27, רמת גן",חד נס 27,6145-1351-9,,4.0,,88.0,3850000,1.0,,1965.0,,3.0,11181263590,1,61451351,False,,רמת גן,חד נס,,6145-1351-9,6145/1351,43750.0,32.0660212418,34.8248078511,2023
2023-12-27,2023-12-27,"אבא הלל 46, רמת גן",אבא הלל 46,6205-584-22,דירה בבית קומות,5.0,שלישית,113.0,3908000,,,1960.0,2024.0,3.0,3596817800,1,6205584,False,,רמת גן,אבא הלל,,6205-584-22,6205/584,34584.070796460175,32.0889085737,34.8088349072,2023
2023-12-27,2023-12-27,"חד נס 27, רמת גן",חד נס 27,6145-1351-8,,5.0,,108.0,3325000,1.0,,1965.0,,3.0,11181263589,1,61451351,False,,רמת גן,חד נס,,6145-1351-8,6145/1351,30787.03703703704,32.0660212418,34.8248078511,2023
2023-12-27,2023-12-27,"חד נס 27, רמת גן",חד נס 27,6145-1351-7,,5.0,,108.0,3170000,1.0,,1965.0,,3.0,11181263588,1,61451351,False,,רמת גן,חד נס,,6145-1351-7,6145/1351,29351.85185185185,32.0660212418,34.8248078511,2023
2023-12-27,2023-12-27,"איתמר 9, רמת גן",איתמר 9,6206-42-13,דירה בבית קומות,3.0,שמינית,87.0,3480000,,,2024.0,,2.0,3576309812,1,620642,False,,רמת גן,איתמר,,6206-42-13,6206/42,40000.0,32.0890711312,34.8076103429,2023
2023-12-27,2023-12-27,"רוחמה 34, רמת גן",רוחמה 34,6157-685-6,,3.0,רביעית,66.0,2450000,1.0,,1950.0,,2.0,11181264010,1,6157685,False,,רמת גן,רוחמה,,6157-685-6,6157/685,37121.21212121212,32.0717535582,34.8212691838,2023
2023-12-27,2023-12-27,"רש""י 12, רמת גן","רש""י 12",6204-668-38,,5.0,תשיעית,110.0,3740000,1.0,,,,17.0,11181267454,1,6204668,False,,רמת גן,"רש""י",,6204-668-38,6204/668,34000.0,32.0907927517,34.8189108592,2023
2023-12-27,2023-12-27,"הביל""ויים 37, רמת גן","הביל""ויים 37",6180-426-220,דירה בבית קומות,3.5,רביעית,64.0,1970000,1.0,גינת אהרונסון,1960.0,,4.0,3596074965,1,6180426,False,,רמת גן,הבילויים,,6180-426-220,6180/426,30781.25,32.0605703316,34.8258606138,2023
2023-12-26,2023-12-26,"אבא הלל 46, רמת גן",אבא הלל 46,6205-584-23,דירה בבית קומות,3.0,שמינית,71.0,2685000,,,1960.0,2024.0,3.0,3596344375,1,6205584,False,,רמת גן,אבא הלל,,6205-584-23,6205/584,37816.90140845071,32.0889085737,34.8088349072,2023
2023-12-26,2023-12-26,"ארלוזורוב 49, רמת גן",ארלוזורוב 49,6128-110-10,דירה בבית קומות,4.0,שלישית,76.0,2400000,,,1940.0,,3.0,3596265872,1,6128110,False,,רמת גן,ארלוזורוב,,6128-110-10,6128/110,31578.947368421053,32.0811141332,34.8092432449,2023
2023-12-26,2023-12-26,"תרצה 4, רמת גן",תרצה 4,6186-267-20,דירה בבית קומות,3.0,חמישית,57.0,1850000,,,2019.0,,6.0,3596268743,1,6186267,False,,רמת גן,תרצה,,6186-267-20,6186/267,32456.140350877195,32.0753968303,34.8288533253,2023
2023-12-26,2023-12-26,"בית חורון 9, רמת גן",בית חורון 9,6127-688-3,דירה בבית קומות,2.0,ראשונה,53.0,610000,,,1960.0,,2.0,3576303838,1,6127688,False,,רמת גן,בית חורון,,6127-688-3,6127/688,11509.433962264153,32.0848930951,34.8107456319,2023
2023-12-26,2023-12-26,"רש""י 12, רמת גן","רש""י 12",6204-668-35,,5.0,שמונה עשרה,110.0,3900000,1.0,,,,17.0,11181267451,1,6204668,False,,רמת גן,"רש""י",,6204-668-35,6204/668,35454.545454545456,32.0907927517,34.8189108592,2023
2023-12-26,2023-12-26,"סן מרטין 19, רמת גן",סן מרטין 19,6143-990-8,,4.0,תשיעית,115.0,5100000,1.0,,,,4.0,11181263451,1,6143990,False,,רמת גן,סן מרטין,,6143-990-8,6143/990,44347.82608695652,32.0534817233,34.8229778185,2023
2023-12-26,2023-12-26,"סן מרטין 19, רמת גן",סן מרטין 19,6143-990-17,דירה בבית קומות,3.0,שביעית,79.0,3280000,,,2021.0,,4.0,3596296496,1,6143990,False,,רמת גן,סן מרטין,,6143-990-17,6143/990,41518.98734177216,32.0534817233,34.8229778185,2023
2023-12-26,2023-12-26,"נוה יהושע 28, רמת גן",נוה יהושע 28,6180-44-12,דירה בבית קומות,4.0,שניה,80.0,2530000,,,2010.0,,4.0,3576248593,1,618044,False,,רמת גן,נוה יהושע,,6180-44-12,6180/44,31625.0,32.0597538938,34.8319728733,2023
2023-12-26,2023-12-26,"הרצל 75, רמת גן",הרצל 75,6127-883-56,משרד,,ביניים,,300000,,,1970.0,,18.0,3596202710,1,6127883,False,200% ב 14.4 שנים,רמת גן,הרצל,13.89,6127-883-56,6127/883,,32.0875299542,34.8145136961,2023
2023-12-25,2023-12-25,"סן מרטין 19, רמת גן",סן מרטין 19,6143-990-7,,3.0,שביעית,79.0,3280000,1.0,,,,4.0,11181263450,1,6143990,False,,רמת גן,סן מרטין,,6143-990-7,6143/990,41518.98734177216,32.0534817233,34.8229778185,2023
2023-12-25,2023-12-25,"ירושלים 22, רמת גן",ירושלים 22,6158-1298-2,חנות,,חנויות,27.0,700000,,,1960.0,,4.0,3596362065,1,61581298,False,174% ב 18 שנים,רמת גן,ירושלים,9.67,6158-1298-2,6158/1298,25925.925925925927,32.0744738991,34.820995615,2023
2023-12-25,2023-12-25,"החיצון 3, רמת גן",החיצון 3,6128-396-12,דירה בבית קומות,4.0,רביעית,72.0,2750000,,,2022.0,,5.0,3596343418,1,6128396,False,,רמת גן,החיצון,,6128-396-12,6128/396,38194.444444444445,32.0804352482,34.8069958233,2023
2023-12-25,2023-12-25,"ז'בוטינסקי 1, רמת גן",ז'בוטינסקי 1,6207-769-170,משרד,,ראשונה,,722000,,,1976.0,,23.0,3596445295,1,6207769,False,,רמת גן,ז'בוטינסקי,,6207-769-170,6207/769,,32.0833649685,34.8003412005,2023
2023-12-25,2023-12-25,"נגבה 77, רמת גן",נגבה 77,6186-621-2,דירה בבית קומות,3.0,קרקע,96.5,2550000,,,1950.0,,1.0,3576312451,1,6186621,False,,רמת גן,נגבה,,6186-621-2,6186/621,26424.870466321245,32.0702301748,34.8306509488,2023
2023-12-25,2023-12-25,"יואב 4, רמת גן",יואב 4,6206-49-19,דירה בבית קומות,5.0,חמישית,132.0,5559000,,,2022.0,,4.0,3576233716,1,620649,False,,רמת גן,יואב,,6206-49-19,6206/49,42113.63636363636,32.0891227967,34.8063824656,2023
2023-12-25,2023-12-25,"נוה יהושע 32, רמת גן",נוה יהושע 32,6180-46-14,דירה בבית קומות,3.0,חמישית,67.42,2280000,,,2001.0,,6.0,3576292354,1,618046,False,,רמת גן,נוה יהושע,,6180-46-14,6180/46,33817.85820231385,32.0597652937,34.8326817894,2023
2023-12-25,2023-12-25,"הנח""ל 20, רמת גן","הנח""ל 20",6158-292-2,דירה בבית קומות,3.0,ראשונה,67.1,2125000,,,1987.0,,3.0,3596083114,1,6158292,False,,רמת גן,"הנח""ל",,6158-292-2,6158/292,31669.15052160954,32.0752176706,34.8236886761,2023
2023-12-24,2023-12-24,"יואב 4, רמת גן",יואב 4,6206-49-16,,5.0,חמישית,133.0,5559200,1.0,,2022.0,,4.0,11181267894,1,620649,False,,רמת גן,יואב,,6206-49-16,6206/49,41798.496240601504,32.0891227967,34.8063824656,2023
2023-12-24,2023-12-24,"גילדסגיים 4, רמת גן",גילדסגיים 4,6235-901-26,דירה בבית קומות,3.0,שלוש עשרה,78.0,2780000,,,2022.0,,9.0,3596330252,1,6235901,False,,רמת גן,גילדסגיים,,6235-901-26,6235/901,35641.02564102564,32.0527854538,34.8495571119,2023
2023-12-24,2023-12-24,"הטייסים 3, רמת גן",הטייסים 3,6142-89-33,דירה בבית קומות,5.0,שמונה עשרה,112.0,4365000,,,2022.0,,2.0,3596320885,1,614289,False,,רמת גן,הטייסים,,6142-89-33,6142/89,38973.21428571428,32.0522614976,34.8136094452,2023
2023-12-23,2023-12-23,,,6142-86-166,,5.0,שמונה עשרה,112.0,4365000,1.0,,,,,11181263379,2,614286,False,,רמת גן,הטייסים,,6142-86-166,6142/86,38973.21428571428,32.0529191023,34.8131483936,2023
2023-12-22,2023-12-22,"פנחס 35, רמת גן",פנחס 35,6145-1064-19,דירה בבית קומות,1.0,ראשונה,,2633000,,,2023.0,,6.0,3596815683,1,61451064,False,,רמת גן,פנחס,,6145-1064-19,6145/1064,,32.0640693126,34.8246893353,2023
2023-12-22,2023-12-22,"השושן 10, רמת גן",השושן 10,6145-811-4,דירה בבית קומות,4.0,שניה,82.0,2450000,,,1960.0,,3.0,3576148543,1,6145811,False,,רמת גן,השושן,,6145-811-4,6145/811,29878.048780487807,32.0712843354,34.8260727842,2023
2023-12-21,2023-12-21,"תובל 18, רמת גן",תובל 18,6207-669-41,דירה בבית קומות,5.0,שמונה עשרה,111.0,4040000,,,1970.0,2022.0,4.0,3576240676,1,6207669,False,,רמת גן,תובל,,6207-669-41,6207/669,36396.3963963964,32.087656069,34.8035827548,2023
2023-12-21,2023-12-21,"באר אורה 6, רמת גן",באר אורה 6,6182-522-2,דירה בבית קומות,3.0,ראשונה,62.0,1930000,,,1970.0,,3.0,3596072326,1,6182522,False,,רמת גן,באר אורה,,6182-522-2,6182/522,31129.032258064515,32.0654089317,34.8304143794,2023
2023-12-21,2023-12-21,"הפודים 29, רמת גן",הפודים 29,6204-96-14,דירה בבית קומות,3.0,ראשונה,60.94,2365000,,,1992.0,,4.0,3576224349,1,620496,False,38% ב 5 שנים,רמת גן,הפודים,7.6,6204-96-14,6204/96,38808.6642599278,32.0929618584,34.8198537215,2023
